id,is_iceberg
5941774d,0
4023181e,0
b20200e4,0
e7f018bb,1
4371c8c3,0
a8d9b1fd,1
29e7727e,0
92a51ffb,1
c769ac97,0
aee0547d,0
565b28ac,0
e04e9775,0
8e8161d1,0
4cf4d256,0
139e5324,1
f156976f,0
68a117cc,0
d9aa7a56,0
9005b143,1
5f6d3988,1
9ad70954,0
b9087b9e,0
a39a1427,1
82fbe8ed,0
1fae4879,0
6dd8f13d,0
bbad5958,0
54527583,0
be8fa29c,0
81a3328f,1
1a3c0ab3,0
4deeeb8b,1
ac6d5632,1
472dadb5,1
96093f95,0
f5b4e3df,0
e01a3c92,0
001680af,0
8e639f33,0
a2c16612,0
a6d76474,0
19c47684,1
015827b6,0
7df7f7ce,0
0bbf1a3f,1
636cfbb7,1
7370030a,1
43aa97ad,0
ba2b5e63,1
dfdd335b,1
e79b13dc,0
dc32b195,1
6d868590,1
75fa59aa,0
ffe50836,1
a7bfd784,1
b3d569e3,0
6c538c5b,0
5c7c15f4,0
0b745139,0
fd14608e,1
f0bc8305,0
a10ccb28,1
543304c7,0
6c3a4078,0
9b73cc75,0
5c6c71b1,0
09ee9186,1
207c35cf,0
153c813e,0
5605d58b,1
642ca396,0
d32d72c0,0
16646a17,0
384074af,1
69bf1e8c,0
9e90a054,0
89dbe7f7,1
dbd27d22,1
a2ea1561,0
d63402af,0
1ac8bb92,1
8beffca5,0
46741f3e,0
e5ee6aa7,0
5ecd892b,0
69892166,0
2f725a81,1
810abfe4,0
e6f973e6,0
c60a5c46,0
c42b9e08,1
c3f00c23,0
5307fdb8,1
3e4f005e,0
4a4cc2e0,0
9bdd88d1,0
0d832bed,0
14a134fa,1
78a41676,0
0bd4658e,0
4a311bb0,1
f939c817,0
956adc4d,1
f8a119f5,0
61faa1ad,0
6725eb3e,0
17b3a8fd,1
49a88dfc,0
2d6ec645,0
0d4d77ba,0
3ee672a2,1
738b41fd,0
f7fb320d,0
b42fad18,0
4ab8b00a,0
f7870f2b,0
4978666a,0
f1b0d6c7,0
5642407f,0
36d4ff92,1
4139aba2,0
7585ce58,0
33e25984,1
ac46f3c9,0
fc34a5b8,0
85c36a8f,1
b2d8a426,0
13ec60d1,0
9d440f42,1
